repo,test_id,framework,line,name,raw_code,abstraction_kind,interaction_ownership,reuse_scope,workflow_evidence_basis,manual_abstraction_kind_ok,manual_abstraction_kind_should_be,manual_workflow_evidence_ok,manual_workflow_evidence_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
facebook/lexical,48856f9e7fc01cf0be4808618e0bba55,Playwright,971,"leftFrame
      .locator('input[data-test-id=""table-modal-rows""]')
      .fill","leftFrame
      .locator('input[data-test-id=""table-modal-rows""]')
      .fill(String(rows))",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"leftFrame
      .locator('input[data-test-id=""table-modal-rows""]')
      .fill(String(rows))",false,,,
cloudtogo/pageplug,b4b9be770bd2de72d86719e2aa288edf,Cypress,733,cy.backFromPropertyPanel,cy.backFromPropertyPanel(),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.backFromPropertyPanel(),false,,,
cloudtogo/pageplug,b42556a00c6d3cd6cacf18f1a58a8330,Cypress,0,eq,,unresolved_helper,unresolved,unknown,resolution_status,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,,false,,,
cloudtogo/pageplug,ff85c3f535aa1e0b94257d6a028d2a5f,Cypress,923,cy.get,cy.get(welcomePage.lastName),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.lastName),false,,,
mattermost/mattermost,a545d1b2f7424c74bdeebe7bec46685d,Cypress,98,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table').find,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table').find('tbody > tr'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table').find('tbody > tr'),false,,,
midas-research/audino,62855aaace6626514bbab3c0db6fd4f8,Cypress,468,cy.get('.cvat-canvas-container').click,"cy.get('.cvat-canvas-container').click(createRectangleParams.secondX, createRectangleParams.secondY)",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.get('.cvat-canvas-container').click(createRectangleParams.secondX, createRectangleParams.secondY)",false,,,
mattermost/mattermost,fbe2140adc96dbd3049332e2889bd962,Cypress,325,cy.postIncomingWebhook,"cy.postIncomingWebhook({url: incomingWebhook.url, data: distinctOptionsPayload, waitFor: 'attachment-pretext'})",hook_setup_flow,custom_command_body,framework_extension,ast_cypress_data_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.postIncomingWebhook({url: incomingWebhook.url, data: distinctOptionsPayload, waitFor: 'attachment-pretext'})",false,,,
linode/manager,206236a24e3354fa7c6342bd044b6fd7,Cypress,31,mockGetAccount,mockGetAccount(cachedAccount),domain_helper,hook_attached,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,mockGetAccount(cachedAccount),false,,,
mattermost/mattermost,1531a7ece4ea3dc4aada497a5a352f41,Playwright,110,userPage.locator,"userPage.locator('[data-testid=""fileAttachmentList""]')",framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"userPage.locator('[data-testid=""fileAttachmentList""]')",false,,,
KittyCAD/modeling-app,8c6b3a3ac0e5d0b10def40b93d762390,Playwright,1027,test.step,"test.step('Delete sweep via feature tree selection', async () => {
      const sweep = await toolbar.getFeatureTreeOperation('Sweep', 0)
      await sweep.click()
      await page.keyboard.press('Delete')
      await editor.expectEditor.not.toContain(editedSweepDeclaration)
    })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('Delete sweep via feature tree selection', async () => {
      const sweep = await toolbar.getFeatureTreeOperation('Sweep', 0)
      await sweep.click()
      await page.keyboard.press('Delete')
      await editor.expectEditor.not.toContain(editedSweepDeclaration)
    })",false,,,
midas-research/audino,7368db4408fbcc17b1aa2795bbf4ee75,Cypress,470,cy.get,cy.get('.cvat-canvas-container'),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get('.cvat-canvas-container'),false,,,
cloudtogo/pageplug,0cae25705127a4115166dc28c758c618,Cypress,342,homePage.EditAppFromAppHover,homePage.EditAppFromAppHover(appName),page_object,page_object_method,page_object_library,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,homePage.EditAppFromAppHover(appName),false,,,
jhipster/jhipster-sample-app,0e4bdeca40d5f0ce63deb1af78e62faf,Cypress,14,cy.login,"cy.login(username, password)",hook_setup_flow,custom_command_body,framework_extension,ast_cypress_session_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.login(username, password)",false,,,
mattermost/mattermost,a468b5f056b2b2dcf69eca52bd86587b,Cypress,98,cy.wait(TIMEOUTS.ONE_SEC).get,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),false,,,
nrwl/nx-examples,39bf269b5a17c2058407b7555c5188e8,Cypress,13,getPage,getPage(),page_object,page_object_method,page_object_library,callee_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getPage(),false,,,
payloadcms/payload,74d3c1069a5cc9f3903c456ebe87c48e,Playwright,2066,user2Page.locator,user2Page.locator('.payload__modal-container'),framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,user2Page.locator('.payload__modal-container'),false,,,
mattermost/mattermost,df36c7eb76b09fbea0f19ab7f3234c8c,Cypress,439,cy.apiDisableTutorials,cy.apiDisableTutorials(createdUser.id),domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.apiDisableTutorials(createdUser.id),false,,,
payloadcms/payload,4f06a82d5cc414ce55a44c03deeb7548,Playwright,2001,user2Page.locator,user2Page.locator('.payload__modal-container'),framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,user2Page.locator('.payload__modal-container'),false,,,
dyrector-io/dyrectorio,b6dcab57c964ecab229fc84737d17bb4,Playwright,44,page.locator,"page.locator('button:has-text(""Save"")')",domain_helper,hook_attached,file_local_helper,helper_depth,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.locator('button:has-text(""Save"")')",false,,,
playcanvas/editor,74ae89d2e57845fabfd210212e29d0f9,Playwright,105,page.evaluate,"page.evaluate((projectId) => {
        return window.editor.api.globals.rest.projects.projectDelete({ projectId }).promisify();
    }, projectId)",domain_helper,hook_attached,file_local_helper,helper_depth,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate((projectId) => {
        return window.editor.api.globals.rest.projects.projectDelete({ projectId }).promisify();
    }, projectId)",false,,,
payloadcms/payload,4319da96b2a0f0c20fba4dbecf6207af,Playwright,1691,user2Page.locator,user2Page.locator('#field-fieldA'),framework_page_instance,direct_in_test,unknown,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,user2Page.locator('#field-fieldA'),false,,,
mattermost/mattermost,0785d94696464db135d6dbb7f245032a,Cypress,419,generateRandomUser,"generateRandomUser(prefix, createAt)",domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"generateRandomUser(prefix, createAt)",false,,,
facebook/lexical,2ac845ccd7bf98034beb1d6c78d6d674,Playwright,209,page.keyboard.press,page.keyboard.press('ArrowLeft'),domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.keyboard.press('ArrowLeft'),false,,,
cloudtogo/pageplug,8da124bd95d34d10261828a8417192cb,Cypress,20,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.Queries),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.Queries),false,,,
nhn/tui.grid,864790294b16af0dd6e20fdb6eefa624,Cypress,94,cy.getCell,"cy.getCell(0, 'name')",domain_helper,helper_expanded,file_local_helper,ast_cypress_locator_query_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.getCell(0, 'name')",false,,,
cloudtogo/pageplug,57942e200ff763e7ec75959b37af0899,Cypress,26,_.debuggerHelper.AssertSelectedTab,"_.debuggerHelper.AssertSelectedTab(
      Cypress.env(""MESSAGES"").DEBUGGER_RESPONSE(),
    )",domain_helper,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"_.debuggerHelper.AssertSelectedTab(
      Cypress.env(""MESSAGES"").DEBUGGER_RESPONSE(),
    )",false,,,
mattermost/mattermost,ab69fb7542d988168a5773803e94e0b8,Cypress,98,cy.wait(TIMEOUTS.ONE_SEC).get,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),false,,,
mattermost/mattermost,b30f21ee18f704d278c9850ee31f942d,Cypress,450,cy.apiSaveUserPreference,"cy.apiSaveUserPreference(preferences, userId)",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveUserPreference(preferences, userId)",false,,,
cloudtogo/pageplug,8febb645d4fd7eebabcd5c795472ac42,Cypress,39,apiPage.RunAPI,apiPage.RunAPI(),page_object,page_object_method,page_object_library,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,apiPage.RunAPI(),false,,,
mattermost/mattermost,c3841afa84b1ac271a51f09ac8f51956,Cypress,194,cy.externalRequest,"cy.externalRequest({user, method: 'put', path: 'config', data: getDefaultConfig(), failOnStatusCode: false})",cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.externalRequest({user, method: 'put', path: 'config', data: getDefaultConfig(), failOnStatusCode: false})",false,,,
mattermost/mattermost,adda2d6ebc7a05ae9ebaede0a40a6bbd,Cypress,444,cy.apiSaveOnboardingPreference,"cy.apiSaveOnboardingPreference(createdUser.id, 'skip', 'true')",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveOnboardingPreference(createdUser.id, 'skip', 'true')",false,,,
getpaseo/paseo,ca77ca41955161089ec9b8aab73682b7,Playwright,178,page.locator,"page.locator('[data-testid=""terminal-surface""]')",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.locator('[data-testid=""terminal-surface""]')",false,,,
mattermost/mattermost,92273b0039b822112aa297618151f221,Cypress,116,sysadminSetup,sysadminSetup(response.user),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(response.user),false,,,
mattermost/mattermost,e40aa6ef6b3946a5a0149032e20b2513,Cypress,99,cy.apiLogin,cy.apiLogin(otherUser),hook_setup_flow,custom_command_body,unknown,ast_cypress_data_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.apiLogin(otherUser),false,,,
appsmithorg/appsmith,de36e94575ceccd4c2c79ed0deada4c2,Cypress,27,cy.getTableV2DataSelector,"cy.getTableV2DataSelector(""0"", ""0"")",domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.getTableV2DataSelector(""0"", ""0"")",false,,,
cloudtogo/pageplug,41fcdfb341e22d3efed8a0ff600fd983,Cypress,217,cy.validateLicense,cy.validateLicense(),cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.validateLicense(),false,,,
mattermost/mattermost,5873bcab19945fa30de2c83d9fb3c156,Cypress,98,cy.wait(TIMEOUTS.ONE_SEC).get,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),false,,,
cloudtogo/pageplug,03bcbd62d68554b70f3c85a2f8ffb71d,Cypress,935,cy.get,cy.get(welcomePage.verifyPassword),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.verifyPassword),false,,,
payloadcms/payload,503ad89fb1c6d9a8b6fbf02078649db1,Playwright,234,page.locator,page.locator('.payload-toast-container'),framework_page_instance,helper_expanded,file_local_helper,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.locator('.payload-toast-container'),false,,,
cloudtogo/pageplug,bce0d76a708e3e997458fe6aa1867183,Cypress,929,cy.get,cy.get(welcomePage.firstName),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.firstName),false,,,
open-telemetry/opentelemetry-demo,c0ba61b62fa5ea4a188284726f619690,Cypress,54,getElementByField,getElementByField(CypressFields.ProductDescription),domain_helper,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getElementByField(CypressFields.ProductDescription),false,,,
deltachat/deltachat-desktop,8b78861fa9b1313034a4c16845b28e85,Playwright,245,page.getByTestId('open-transport-settings').click,page.getByTestId('open-transport-settings').click(),domain_helper,hook_attached,file_local_helper,helper_depth,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.getByTestId('open-transport-settings').click(),false,,,
nrwl/nx-examples,f865579becdcab3d2c587c83490d6afb,Cypress,17,getPage,getPage(),page_object,page_object_method,page_object_library,callee_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getPage(),false,,,
payloadcms/payload,63df79bd72f9146d53452d9a1c4db61d,Playwright,73,toggler.click,toggler.click(),domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,toggler.click(),false,,,
cloudtogo/pageplug,bfe40f8cfbe0838069feb2a4b9af215f,Cypress,925,cy.get,cy.get(welcomePage.password),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.password),false,,,
cloudtogo/pageplug,467b0aa174708259333548c331ddc156,Cypress,14,_.agHelper.AddDsl,"_.agHelper.AddDsl(""formdsl1"")",domain_helper,hook_attached,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"_.agHelper.AddDsl(""formdsl1"")",false,,,
appsmithorg/appsmith,e9dfa8b59b584e10b7f3b60faf0b8683,Cypress,959,cy.get(welcomePage.firstName).type,"cy.get(welcomePage.firstName).type(Cypress.env(""USERNAME""))",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.get(welcomePage.firstName).type(Cypress.env(""USERNAME""))",false,,,
cloudtogo/pageplug,3f9763b819db95ee8feca4feb0c53211,Cypress,462,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.UI),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.UI),false,,,
mattermost/mattermost,cd2d614870d4a02dbba48689e50e8268,Cypress,436,cy.apiSaveOnboardingTaskListPreference,"cy.apiSaveOnboardingTaskListPreference(createdUser.id, 'onboarding_task_list_show', 'false')",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveOnboardingTaskListPreference(createdUser.id, 'onboarding_task_list_show', 'false')",false,,,
appsmithorg/appsmith,3a9495fc5cc15677f2ff67a05244b4a1,Cypress,102,cy.openFieldConfiguration,"cy.openFieldConfiguration(""object"")",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.openFieldConfiguration(""object"")",false,,,
mattermost/mattermost,ed8d91cfa5d7903612c830d8600814bd,Cypress,98,cy.wait(TIMEOUTS.ONE_SEC).get,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.wait(TIMEOUTS.ONE_SEC).get('.job-table__table'),false,,,
mattermost/mattermost,7f97119fbe766cf97c67ef568725fa01,Cypress,106,cy.apiLoginWithMFA,"cy.apiLoginWithMFA(admin, token)",hook_setup_flow,custom_command_body,file_local_helper,ast_cypress_data_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiLoginWithMFA(admin, token)",false,,,
cloudtogo/pageplug,9b0406d870ac28c6dbaa88df44c89c6e,Cypress,134,cy.UncheckWidgetProperties,cy.UncheckWidgetProperties(commonlocators.hideToolbarCheckbox),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.UncheckWidgetProperties(commonlocators.hideToolbarCheckbox),false,,,
appsmithorg/appsmith,b24e24b200b4823e14a828c519689d63,Cypress,62,cy.selectDropdownValue,"cy.selectDropdownValue(commonlocators.jsonFormFieldType, ""Checkbox"")",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.selectDropdownValue(commonlocators.jsonFormFieldType, ""Checkbox"")",false,,,
UI5/webcomponents,4d0de5a058075e7fb7cae3c67338bb75,Cypress,14,"cy.get(""@datePicker"")
		.shadow","cy.get(""@datePicker"")
		.shadow()",cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.get(""@datePicker"")
		.shadow()",false,,,
marmelab/react-admin,ab264e4adfe4446fa331b1f901ee0054,Cypress,98,cy.get,cy.get(this.elements.snackbar),page_object,page_object_method,page_object_library,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(this.elements.snackbar),false,,,
epicweb-dev/epic-stack,eac805a32d9baeebde549fe3dc853984,Playwright,4,insertNewUser,insertNewUser(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,insertNewUser(),false,,,
mattermost/mattermost,da8e5a6308a36d53345b927de43a54bc,Cypress,516,cy.apiSaveUserPreference,"cy.apiSaveUserPreference(preferences, userId)",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveUserPreference(preferences, userId)",false,,,
cloudtogo/pageplug,f945d7e64ade8e03d8006d7fc9372b69,Cypress,18,_.entityExplorer.ActionContextMenuByEntityName,"_.entityExplorer.ActionContextMenuByEntityName({
        entityNameinLeftSidebar: ""Page2"",
        action: ""Hide"",
        entityType: EntityItems.Page,
      })",domain_helper,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"_.entityExplorer.ActionContextMenuByEntityName({
        entityNameinLeftSidebar: ""Page2"",
        action: ""Hide"",
        entityType: EntityItems.Page,
      })",false,,,
cloudtogo/pageplug,4f0bc2044f6c923bb231438c11e434fe,Cypress,175,cy.getCodeInput,"cy.getCodeInput("".js-editor"")",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.getCodeInput("".js-editor"")",false,,,
appsmithorg/appsmith,529ee1a1b312880d13d7452022d21678,Cypress,429,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.UI),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.UI),false,,,
sanity-io/sanity,9b42dcaab4992eb3f1f506db6ab99c7d,Playwright,448,_testContext.getUniqueDocumentId,_testContext.getUniqueDocumentId(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,_testContext.getUniqueDocumentId(),false,,,
mattermost/mattermost,990f4f970dd75d79f6f2daa50dbbb8fe,Cypress,236,cy.findByRole,"cy.findByRole('dialog', {name: 'Direct Messages'})",domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.findByRole('dialog', {name: 'Direct Messages'})",false,,,
appsmithorg/appsmith,4bfd603e109f19758b5319d284942b2d,Cypress,26,homePage.ImportApp,"homePage.ImportApp(""apiMultiPartData.json"")",page_object,page_object_method,page_object_library,ast_page_object_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"homePage.ImportApp(""apiMultiPartData.json"")",false,,,
algolia/docsearch,536668a5f7c1a525df95036b2d27aa3f,Cypress,20,cy.typeQueryMatching,cy.typeQueryMatching(),domain_helper,helper_expanded,file_local_helper,ast_cypress_custom_call_only,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.typeQueryMatching(),false,,,
appsmithorg/appsmith,d473b62388c3231b4c4cbb5b6d0ea464,Cypress,72,PageLeftPane.expandCollapseItem,"PageLeftPane.expandCollapseItem(""Container4"")",page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"PageLeftPane.expandCollapseItem(""Container4"")",false,,,
ionic-team/ionic-framework,e8a129013463e5dd585bee487163a207,Cypress,516,cy.ionPageVisible,cy.ionPageVisible('inputs'),domain_helper,helper_expanded,file_local_helper,ast_cypress_locator_query_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.ionPageVisible('inputs'),false,,,
mattermost/mattermost,852fad4acc5b7294e38dacc08429544b,Cypress,32,"cy.get('div.post-list__dynamic').should('be.visible').
        scrollTo","cy.get('div.post-list__dynamic').should('be.visible').
        scrollTo('bottom', {duration: TIMEOUTS.ONE_SEC})",domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.get('div.post-list__dynamic').should('be.visible').
        scrollTo('bottom', {duration: TIMEOUTS.ONE_SEC})",false,,,
cloudtogo/pageplug,2ffd35d75d81b77d62d4325f2cdb3d31,Cypress,141,cy.skipSignposting,cy.skipSignposting(),cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.skipSignposting(),false,,,
mattermost/mattermost,cd071807ad064f1ccd64423ef6737fe1,Cypress,516,cy.apiSaveUserPreference,"cy.apiSaveUserPreference(preferences, userId)",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveUserPreference(preferences, userId)",false,,,
Portabase/portabase,7510644406e55bdca61858e49d15c3e9,Playwright,40,create,"create(page, ""Google Drive"", invalidChannelName, async (page) => {
            await page.getByLabel(/Client ID/).fill(getEnv(""E2E_STORAGE_GOOGLE_DRIVE_CLIENT_ID""));
            await page.getByLabel(/Client Secret/).fill(""wrong-google-drive-client-secret"");
            await page.getByLabel(/Folder ID/).fill(getEnv(""E2E_STORAGE_GOOGLE_DRIVE_FOLDER_ID""));
        })",domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"create(page, ""Google Drive"", invalidChannelName, async (page) => {
            await page.getByLabel(/Client ID/).fill(getEnv(""E2E_STORAGE_GOOGLE_DRIVE_CLIENT_ID""));
            await page.getByLabel(/Client Secret/).fill(""wrong-google-drive-client-secret"");
            await page.getByLabel(/Folder ID/).fill(getEnv(""E2E_STORAGE_GOOGLE_DRIVE_FOLDER_ID""));
        })",false,,,
cloudtogo/pageplug,e00ff4598b7d583885649ca5039836ed,Cypress,926,cy.get,cy.get(welcomePage.verifyPassword),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.verifyPassword),false,,,
nhn/tui.grid,61d325f0a7faf2b82c899c1e56b2b9a3,Cypress,22,cy.gridInstance,cy.gridInstance(),domain_helper,helper_expanded,file_local_helper,ast_cypress_custom_call_only,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.gridInstance(),false,,,
cloudtogo/pageplug,adbd0adbda20f62dd2ae6d3fc2c28c37,Cypress,1373,cy.get,cy.get(commonlocators.lazyCodeEditorRendered),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(commonlocators.lazyCodeEditorRendered),false,,,
payloadcms/payload,356359477e9f763a40631f48af4685ff,Playwright,255,page.locator,page.locator(toastCloseSelector),framework_page_instance,helper_expanded,file_local_helper,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,page.locator(toastCloseSelector),false,,,
invoicerr-app/invoicerr,7f7dc06dafb289f21b1befdbc3c6d101,Cypress,198,cy.login,cy.login(),hook_setup_flow,custom_command_body,framework_extension,ast_cypress_session_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.login(),false,,,
KittyCAD/modeling-app,bd086280143278c1f379cf3616d35f2b,Playwright,150,test.step,"test.step('Insert a second time and expect error', async () => {
        await toolbar.insertButton.click()
        await cmdBar.selectOption({ name: 'bracket.kcl' }).click()
        await expect(
          page.getByText('This file is already imported')
        ).toBeVisible()
        await cmdBar.closeCmdBar()
      })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('Insert a second time and expect error', async () => {
        await toolbar.insertButton.click()
        await cmdBar.selectOption({ name: 'bracket.kcl' }).click()
        await expect(
          page.getByText('This file is already imported')
        ).toBeVisible()
        await cmdBar.closeCmdBar()
      })",false,,,
cloudtogo/pageplug,1c56a4e58cda6497e91029a4ebcf0589,Cypress,712,cy.backFromPropertyPanel,cy.backFromPropertyPanel(),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.backFromPropertyPanel(),false,,,
