repo,test_id,framework,line,name,raw_code,ui_action_category,locator_present,raw_framework_api,normalized_strategy,locator_composition,robustness_signal,evidence_basis,selector_literal_kind,selector_channel,selector_value_origin,locator_strategy_inferred,locator_evidence_basis,locator_composition_evidence_basis,manual_locator_strategy_ok,manual_locator_strategy_should_be,manual_locator_composition_ok,manual_locator_composition_should_be,manual_selector_literal_kind_ok,manual_selector_literal_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
cypress-io/cypress-realworld-app,f6e8bccef5d63423a5db43d2a373a409,Cypress,32,cy.getBySelLike(`${field}Name-input`).type,"cy.getBySelLike(`${field}Name-input`).type(""Abc"")",text_input,True,cy.getBySelLike,unknown,parameterized_locator,opaque_or_unresolved_signal,unresolved,variable,variable,inline_literal,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.getBySelLike(`${field}Name-input`).type(""Abc"")",false,,,
cypress-io/cypress-realworld-app,397305bec5e915a1054681799e608131,Cypress,149,"cy.getBySelLike(""delete"").first().click","cy.getBySelLike(""delete"").first().click()",click,True,cy.getBySelLike,unknown,positional_refinement,opaque_or_unresolved_signal,unresolved,unknown,unknown,inline_literal,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.getBySelLike(""delete"").first().click()",false,,,
linode/manager,16a7c071d699e3354c7861053a2a0078,Cypress,334,cy.contains,cy.contains(`#${mockSMTPTicket.id}: SMTP Restriction Removal`),locator_query,True,cy.contains,text_content,parameterized_locator,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.contains(`#${mockSMTPTicket.id}: SMTP Restriction Removal`),false,,,
appsmithorg/appsmith,7998960a0dd710ac906ea3d9dc995748,Cypress,718,cy.get,cy.get(this.locator._multiSelectOptions($each)),locator_query,True,cy.get,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(this.locator._multiSelectOptions($each)),false,,,
Stirling-Tools/Stirling-PDF,dd7652609d78c1e5bebb4e15b02e2086,Playwright,222,page.getByRole,"page.getByRole(""button"", { name: /Pasted Folder Scan/i })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""button"", { name: /Pasted Folder Scan/i })",false,,,
cloudtogo/pageplug,261fe8bcd789c83f9583fde05ca42658,Cypress,93,cy.xpath(this.locator._contextMenuItem(action)).click,cy.xpath(this.locator._contextMenuItem(action)).click({ force: true }),click,True,cy.xpath,xpath_selector,direct_chain,positional_or_structural_signal,ast_call_chain,xpath,xpath,call_expression,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.xpath(this.locator._contextMenuItem(action)).click({ force: true }),false,,,
CopilotKit/CopilotKit,b2d4505e1be8c8c28557a4c176a5c6e0,Playwright,25,page.getByText,"page.getByText(""Sales Pipeline Assistant"")",locator_query,True,page.getByText,text_content,unknown,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByText(""Sales Pipeline Assistant"")",false,,,
mattermost/mattermost,55fe415af6f0bd220b37a575b6f4f27a,Cypress,44,cy.findByRole,"cy.findByRole('combobox', {name: 'quick switch input'})",locator_query,True,cy.findByRole,role_or_accessibility,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('combobox', {name: 'quick switch input'})",false,,,
mattermost/mattermost,50008d706c5d45785955043afaba7409,Cypress,37,"cy.findByRole('combobox', {name: 'quick switch input'}).
        should('be.visible').
        as('input').
        clear","cy.findByRole('combobox', {name: 'quick switch input'}).
        should('be.visible').
        as('input').
        clear()",text_input,True,cy.findByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('combobox', {name: 'quick switch input'}).
        should('be.visible').
        as('input').
        clear()",false,,,
spartan-ng/spartan,0da910dcf92aa310d198a45a13b0c947,Cypress,78,cy.findByRole,"cy.findByRole('heading', { name: /account/i })",locator_query,True,cy.findByRole,role_or_accessibility,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('heading', { name: /account/i })",false,,,
opensearch-project/OpenSearch-Dashboards,8ccfc6ed1826e20d841bb8d48eee063c,Cypress,131,cy.getElementByTestId,cy.getElementByTestId('docTableHeader-attributes.http.status_code'),locator_query,True,cy.getElementByTestId,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.getElementByTestId('docTableHeader-attributes.http.status_code'),false,,,
cloudtogo/pageplug,2a1ae7b26efc56c2b4a1929541fd0f5a,Cypress,69,cy.xpath(widgetsPage.leftAlign).first().click,cy.xpath(widgetsPage.leftAlign).first().click({ force: true }),click,True,cy.xpath,xpath_selector,positional_refinement,positional_or_structural_signal,ast_call_chain,xpath,xpath,member_path,xpath_selector,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.xpath(widgetsPage.leftAlign).first().click({ force: true }),false,,,
appsmithorg/appsmith,c3bd38b21c94cdd0e97bbc0105e1c326,Cypress,22,cy.get,"cy.get(""@guid"")",locator_query,True,cy.get,css_selector,standalone_locator_query,implementation_coupled_signal,regex_fallback,cypress_alias_reference,cypress_alias_reference,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""@guid"")",false,,,
mattermost/mattermost,cb9705723630bbbc1fa6aeaaddbad873,Cypress,56,cy.findByPlaceholderText,cy.findByPlaceholderText('Password'),locator_query,True,cy.findByPlaceholderText,placeholder_or_alt_title,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByPlaceholderText('Password'),false,,,
linode/manager,173884855dc5a6bab5ba2cd5bd0ff5ba,Cypress,210,ui.button.findByTitle,ui.button.findByTitle('Cancel'),locator_query,True,findByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,inline_literal,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,ui.button.findByTitle('Cancel'),false,,,
appsmithorg/appsmith,37d533be625732a13becc64aeac11d7b,Cypress,807,cy.get,cy.get(widgetsPage.addColumn),locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,member_path,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get(widgetsPage.addColumn),false,,,
team-mirai/marumie,516840de0660965e6428820952e43a02,Playwright,6,page.getByLabel,"page.getByLabel(""Email"")",locator_query,True,page.getByLabel,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,inline_literal,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByLabel(""Email"")",false,,,
seerr-team/seerr,fa5674b2995d65ddb98f18c05a3a3039,Cypress,10,cy.get('[data-testid=email]').type,cy.get('[data-testid=email]').type(email),text_input,True,cy.get,test_id_or_data_contract,direct_chain,stable_test_contract_signal,ast_call_chain,test_id,test_id,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('[data-testid=email]').type(email),false,,,
deltachat/deltachat-desktop,322e4d13ad982b88b3c5f52331eb94de,Playwright,605,page.getByTestId,page.getByTestId('chat-info-button'),locator_query,True,page.getByTestId,test_id_or_data_contract,direct_chain,stable_test_contract_signal,ast_call_chain,test_id,test_id,inline_literal,test_id_or_data_contract,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('chat-info-button'),false,,,
eigenpal/docx-editor,93abb71d993b0b6c1fe48d267aa50348,Playwright,90,page.evaluate,"page.evaluate((text) => {
    // Search only in editor content area
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, NodeFilter.SHOW_TEXT, null);

    let node: Text | n...",locator_query,True,page.evaluate,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,variable,variable,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.evaluate((text) => {
    // Search only in editor content area
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, NodeFilter.SHOW_TEXT, null);

    let node: Text | n...",false,,,
ionic-team/ionic-framework,48133789aebd5871b15941ffd550e117,Playwright,20,page.locator,page.locator('#more-hover-trigger'),locator_query,True,page.locator,framework_selector_object,standalone_locator_query,implementation_coupled_signal,regex_fallback,id,id,inline_literal,framework_selector_object,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.locator('#more-hover-trigger'),false,,,
linode/manager,b3d7c08c2fc8b1caa2b91a1fa608cf15,Cypress,366,"cy.findByLabelText(interfaceTypeField)
              .should('be.visible')
              .should('have.attr', 'value', mockFirewallInitial.label)
              .click","cy.findByLabelText(interfaceTypeField)
              .should('be.visible')
              .should('have.attr', 'value', mockFirewallInitial.label)
              .click()",click,True,cy.findByLabelText,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,identifier,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByLabelText(interfaceTypeField)
              .should('be.visible')
              .should('have.attr', 'value', mockFirewallInitial.label)
              .click()",false,,,
linode/manager,e2212fa4d530be35c6596205e277c9c6,Cypress,3315,cy.findByLabelText,cy.findByLabelText('Revision ID'),locator_query,True,cy.findByLabelText,label_or_form_affordance,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByLabelText('Revision ID'),false,,,
appsmithorg/appsmith,340acb66c8eea3ffa195f0677b34cf9b,Cypress,350,cy.get,"cy.get("".t--input-country-code-change"")",locator_query,True,cy.get,css_selector,standalone_locator_query,implementation_coupled_signal,regex_fallback,class,class,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get("".t--input-country-code-change"")",false,,,
linode/manager,de2911fdf58600cc3bbadd9d2efc1463,Cypress,254,cy.findByPlaceholderText,cy.findByPlaceholderText('Select a Dashboard'),locator_query,True,cy.findByPlaceholderText,placeholder_or_alt_title,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByPlaceholderText('Select a Dashboard'),false,,,
spartan-ng/spartan,4b8eb2ea79c9e94a2d6d89b68cbedde5,Cypress,44,cy.findByRole,"cy.findByRole('heading', { name: /account/i })",locator_query,True,cy.findByRole,role_or_accessibility,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('heading', { name: /account/i })",false,,,
runtipi/runtipi,80496b30c595c09cd9cc2109f9375d55,Playwright,57,page.getByRole,"page.getByRole('button', { name: 'Install' })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('button', { name: 'Install' })",false,,,
linode/manager,6d231169870e0065330130c0de094965,Cypress,108,cy.get,cy.get('body'),locator_query,True,cy.get,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,unknown,unknown,inline_literal,css_selector,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('body'),false,,,
sanity-io/sanity,74cc655f4d6eb58936307aedf87fe46f,Playwright,123,page.getByTestId,page.getByTestId('tree-editing-dialog'),locator_query,True,page.getByTestId,test_id_or_data_contract,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByTestId('tree-editing-dialog'),false,,,
OHIF/Viewers,560fc235d57ee87bd9c45dce09289159,Playwright,11,DOMOverlayPageObject.viewport.segmentationHydration.yes.click,DOMOverlayPageObject.viewport.segmentationHydration.yes.click(),click,True,t.viewport.segmentationHydration.yes.click,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,ast_call_chain,unknown,unknown,none,page_object_mediated,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,DOMOverlayPageObject.viewport.segmentationHydration.yes.click(),false,,,
cloudtogo/pageplug,2d6e4634266e0de5ecee55210c082269,Cypress,970,cy.get,"cy.get(""#loading"")",locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,id,id,inline_literal,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""#loading"")",false,,,
chaskiq/chaskiq,54d918e984f7fb335b6b2948cd4d638e,Cypress,240,"cy.wrap($body)
                .xpath('/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea')
                .type","cy.wrap($body)
                .xpath('/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea')
                .type('oeoe \n')",text_input,True,cy.wrap,xpath_selector,direct_chain,positional_or_structural_signal,regex_fallback,xpath,xpath,variable,xpath_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.wrap($body)
                .xpath('/html/body/main/div/div/div/main/div/div/div[2]/div/div/textarea')
                .type('oeoe \n')",false,,,
sanity-io/sanity,c351c084e119f737c1c9fe6572486237,Playwright,97,page.getByRole,"page.getByRole('button', {
        name: `Reverting ""${partialScheduledReleaseMetadata.title}""`,
        exact: true,
      })",locator_query,True,page.getByRole,role_or_accessibility,parameterized_locator,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('button', {
        name: `Reverting ""${partialScheduledReleaseMetadata.title}""`,
        exact: true,
      })",false,,,
apache/apisix-dashboard,b413d8e250cb3498a16dd098442d4a35,Playwright,57,page.getByLabel('Content').fill,page.getByLabel('Content').fill(protoContent),text_input,True,page.getByLabel,label_or_form_affordance,direct_chain,user_facing_accessibility_signal,ast_call_chain,label,label,inline_literal,label_or_form_affordance,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByLabel('Content').fill(protoContent),false,,,
influxdata/chronograf,47b5f3300559ade7ad1043be589479e2,Cypress,123,cy.getByTestID,cy.getByTestID('write-permission'),locator_query,True,cy.getByTestID,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.getByTestID('write-permission'),false,,,
spartan-ng/spartan,79bc22304935bea77bb2688fdf27d28c,Cypress,74,cy.findByLabelText,cy.findByLabelText('v16.0.0'),locator_query,True,cy.findByLabelText,label_or_form_affordance,standalone_locator_query,user_facing_accessibility_signal,regex_fallback,label,label,inline_literal,label_or_form_affordance,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByLabelText('v16.0.0'),false,,,
mattermost/mattermost,4dac974bda78c78c8103293f60e645ad,Cypress,11,"cy.findByRole('button', {name: 'select an emoji'}).click","cy.findByRole('button', {name: 'select an emoji'}).click()",click,True,cy.findByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.findByRole('button', {name: 'select an emoji'}).click()",false,,,
eigenpal/docx-editor,5f346628449af9049f1118db90a31f41,Playwright,429,page.evaluate,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",locator_query,True,page.evaluate,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,source_metadata,class,class,computed,page_object_mediated,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.evaluate(() => {
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    return contentArea?.textContent || '';
  })",false,,,
cypress-io/cypress-realworld-app,c38212c8d6b4c32fc121dbb22a60930d,Cypress,319,cy.getBySelLike(feed.tab).click,cy.getBySelLike(feed.tab).click({ force: true }),click,True,cy.getBySelLike,unknown,parameterized_locator,opaque_or_unresolved_signal,unresolved,variable,variable,member_path,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.getBySelLike(feed.tab).click({ force: true }),false,,,
kawalcovid19/wargabantuwarga.com,2493039c2979ed268342f32e32f7fb9b,Cypress,37,cy.findByText,cy.findByText(/dki jakarta/i),locator_query,True,cy.findByText,text_content,standalone_locator_query,readable_text_signal,regex_fallback,text,text,,text_content,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.findByText(/dki jakarta/i),false,,,
plasmicapp/plasmic,064819fe91490c2d4a7768bb1dca7214,Playwright,102,page.locator,"page.locator('div[class$=""toolbarStrike""][data-active=true]')",locator_query,True,page.locator,framework_selector_object,standalone_locator_query,stable_test_contract_signal,regex_fallback,data_attribute,data_attribute,inline_literal,framework_selector_object,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.locator('div[class$=""toolbarStrike""][data-active=true]')",false,,,
cypress-io/cypress-realworld-app,38ec5218f5ff71853b38b79d460f883f,Cypress,223,"cy.getBySelLike(""transaction-item"")
      .first()
      .should(""contain"", transactionPayload.description)
      .click","cy.getBySelLike(""transaction-item"")
      .first()
      .should(""contain"", transactionPayload.description)
      .click({ force: true })",click,True,cy.getBySelLike,unknown,positional_refinement,opaque_or_unresolved_signal,unresolved,unknown,unknown,inline_literal,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.getBySelLike(""transaction-item"")
      .first()
      .should(""contain"", transactionPayload.description)
      .click({ force: true })",false,,,
element-hq/element-web,9e256ef8f1286d666256a3c4c701480e,Playwright,340,"encryptionTab.getByRole(""switch"", { name: ""Allow key storage"" }).click","encryptionTab.getByRole(""switch"", { name: ""Allow key storage"" }).click()",click,True,getByRole,role_or_accessibility,direct_chain,user_facing_accessibility_signal,ast_call_chain,role,role,inline_literal,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"encryptionTab.getByRole(""switch"", { name: ""Allow key storage"" }).click()",false,,,
influxdata/chronograf,a20ebd1021090920181dc75b79d99ac5,Cypress,67,cy.getByTestID,cy.getByTestID(`${chronograf.user.role[1]}-dropdown-item`),locator_query,True,cy.getByTestID,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.getByTestID(`${chronograf.user.role[1]}-dropdown-item`),false,,,
surveyjs/survey-library,8c3afa13c3a42a47f132ed89a8d04907,Playwright,769,"tagbox1.locator("".sv-list"").evaluate.scroll","tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 2300; })",scroll,True,tagbox1,framework_selector_object,unknown,implementation_coupled_signal,regex_fallback,class,class,inline_literal,framework_selector_object,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"tagbox1.locator("".sv-list"").evaluate((el) => { el.scrollTop = 2300; })",false,,,
linode/manager,4a9ea2e77c36d32a4311406f376d14d5,Cypress,44,"ui.autocompletePopper
        .findByTitle","ui.autocompletePopper
        .findByTitle(linode.label)",locator_query,True,findByTitle,placeholder_or_alt_title,direct_chain,user_facing_accessibility_signal,ast_call_chain,title,title,member_path,placeholder_or_alt_title,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.autocompletePopper
        .findByTitle(linode.label)",false,,,
taiga-family/maskito,5fde3f0913d3889b0adea86e9d9a195a,Cypress,6,cy.get,cy.get('#by-postprocessor input'),locator_query,True,cy.get,css_selector,standalone_locator_query,implementation_coupled_signal,regex_fallback,id,id,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,cy.get('#by-postprocessor input'),false,,,
UI5/webcomponents,ebfdf08d90111cff73d7fd26967fb62a,Cypress,2380,cy.get,"cy.get(""@targetItem"")",locator_query,True,cy.get,css_selector,standalone_locator_query,implementation_coupled_signal,regex_fallback,cypress_alias_reference,cypress_alias_reference,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""@targetItem"")",false,,,
apache/apisix-dashboard,477a25b0340b726f2cef1912a77946ce,Playwright,181,page.getByRole,"page.getByRole('cell', { name: `${pluginConfigName}-updated` })",locator_query,True,page.getByRole,role_or_accessibility,parameterized_locator,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole('cell', { name: `${pluginConfigName}-updated` })",false,,,
pingcap/autoflow,0e833dcbfcf51602be797c9c2a76de9d,Playwright,36,page.getByRole,page.getByRole('row'),locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,page.getByRole('row'),false,,,
Portabase/portabase,0d4c5470a754e1f1b983c797a973a65b,Playwright,49,page.getByRole,"page.getByRole(""heading"", {name: ""Notification channels""})",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""heading"", {name: ""Notification channels""})",false,,,
JetBrains/kotlin-web-site,9457f4a1232a34c775bb81372e6b9485,Playwright,139,serverSidePage.downloadIdeaButton.click,serverSidePage.downloadIdeaButton.click(),click,True,Page.downloadIdeaButton.click,page_object_mediated,page_object_mediated,opaque_or_unresolved_signal,ast_call_chain,unknown,unknown,none,page_object_mediated,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,serverSidePage.downloadIdeaButton.click(),false,,,
ohcnetwork/care_fe,ce0f45264ca31f96268af2d6606a885a,Playwright,153,page.getByRole,"page.getByRole(""heading"", { name: randomEncounterClass })",locator_query,True,page.getByRole,role_or_accessibility,unknown,user_facing_accessibility_signal,regex_fallback,role,role,inline_literal,role_or_accessibility,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByRole(""heading"", { name: randomEncounterClass })",false,,,
CopilotKit/CopilotKit,27166341b86e0af96b970129bcd5ed40,Playwright,15,page.getByPlaceholder,"page.getByPlaceholder(""Ask about your context..."")",locator_query,True,page.getByPlaceholder,placeholder_or_alt_title,unknown,user_facing_accessibility_signal,regex_fallback,placeholder,placeholder,inline_literal,placeholder_or_alt_title,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByPlaceholder(""Ask about your context..."")",false,,,
